

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================
    FUD11             FUDICIAL,ECC      07525 08950
    FUD12             FUDICIAL,ECC      05700 08325
    FUD13             FUDICIAL,ECC      03875 10150
    J1                CONN,RF,HRS       04845 09315
    J1A               CONN,RF,HRS       06045 09315
    J1B               CONN,RF,HRS       07245 09315
    J1C               CONN,RF,HRS       07245 10515
    J1D               CONN,RF,HRS       06045 10515
    J1E               CONN,RF,HRS       04845 10515
    J1F               CONN,RF,HRS       04845 11715
    J1G               CONN,RF,HRS       06045 11715
    J1H               CONN,RF,HRS       07245 11715
    L4                0402-G2           04714 09139
    L4A               0402-G2           05914 09139
    L4B               0402-G2           07114 09139
    L4C               0402-G2           07114 10339
    L4D               0402-G2           05914 10339
    L4E               0402-G2           04714 10339
    L4F               0402-G2           04714 11539
    L4G               0402-G2           05914 11539
    L4H               0402-G2           07114 11539
    L5                0402-G2           04665 09160
    L5A               0402-G2           05865 09160
    L5B               0402-G2           07065 09160
    L5C               0402-G2           07065 10360
    L5D               0402-G2           05865 10360
    L5E               0402-G2           04665 10360
    L5F               0402-G2           04665 11560
    L5G               0402-G2           05865 11560
    L5H               0402-G2           07065 11560
    L6                0402-G2           04795 09202
    L6A               0402-G2           05995 09202
    L6B               0402-G2           07195 09202
    L6C               0402-G2           07195 10402
    L6D               0402-G2           05995 10402
    L6E               0402-G2           04795 10402
    L6F               0402-G2           04795 11602
    L6G               0402-G2           05995 11602
    L6H               0402-G2           07195 11602
    LOGO1             CAL_LOGO,25%      04775 09125
    LOGO1A            CAL_LOGO,25%      05975 09125

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page  6

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    LOGO1B            CAL_LOGO,25%      07175 09125
    LOGO1C            CAL_LOGO,25%      07175 10325
    LOGO1D            CAL_LOGO,25%      05975 10325
    LOGO1E            CAL_LOGO,25%      04775 10325
    LOGO1F            CAL_LOGO,25%      04775 11525
    LOGO1G            CAL_LOGO,25%      05975 11525
    LOGO1H            CAL_LOGO,25%      07175 11525
    R1                0402-G2           04901 08874
    R1A               0402-G2           06101 08874
    R1B               0402-G2           07301 08874
    R1C               0402-G2           07301 10074
    R1D               0402-G2           06101 10074
    R1E               0402-G2           04901 10074
    R1F               0402-G2           04901 11274
    R1G               0402-G2           06101 11274
    R1H               0402-G2           07301 11274
    R3                0402-G2           04435 08950
    R3A               0402-G2           05635 08950
    R3B               0402-G2           06835 08950
    R3C               0402-G2           06835 10150
    R3D               0402-G2           05635 10150
    R3E               0402-G2           04435 10150
    R3F               0402-G2           04435 11350
    R3G               0402-G2           05635 11350
    R3H               0402-G2           06835 11350
    R4                0402-G2           04590 08740
    R4A               0402-G2           05790 08740
    R4B               0402-G2           06990 08740
    R4C               0402-G2           06990 09940
    R4D               0402-G2           05790 09940
    R4E               0402-G2           04590 09940
    R4F               0402-G2           04590 11140
    R4G               0402-G2           05790 11140
    R4H               0402-G2           06990 11140
    R6                0402-G2           04590 08785
    R6A               0402-G2           05790 08785
    R6B               0402-G2           06990 08785
    R6C               0402-G2           06990 09985
    R6D               0402-G2           05790 09985
    R6E               0402-G2           04590 09985
    R6F               0402-G2           04590 11185
    R6G               0402-G2           05790 11185
    R6H               0402-G2           06990 11185

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page  7

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    R7                0402-G2           04590 08550
    R7A               0402-G2           05790 08550
    R7B               0402-G2           06990 08550
    R7C               0402-G2           06990 09750
    R7D               0402-G2           05790 09750
    R7E               0402-G2           04590 09750
    R7F               0402-G2           04590 10950
    R7G               0402-G2           05790 10950
    R7H               0402-G2           06990 10950
    R8                0402-G2           04100 08775
    R8A               0402-G2           05300 08775
    R8B               0402-G2           06500 08775
    R8C               0402-G2           06500 09975
    R8D               0402-G2           05300 09975
    R8E               0402-G2           04100 09975
    R8F               0402-G2           04100 11175
    R8G               0402-G2           05300 11175
    R8H               0402-G2           06500 11175
    R9                0402-G2           04900 08570
    R9A               0402-G2           06100 08570
    R9B               0402-G2           07300 08570
    R9C               0402-G2           07300 09770
    R9D               0402-G2           06100 09770
    R9E               0402-G2           04900 09770
    R9F               0402-G2           04900 10970
    R9G               0402-G2           06100 10970
    R9H               0402-G2           07300 10970
    R10               0402-G2           04835 08850
    R10A              0402-G2           06035 08850
    R10B              0402-G2           07235 08850
    R10C              0402-G2           07235 10050
    R10D              0402-G2           06035 10050
    R10E              0402-G2           04835 10050
    R10F              0402-G2           04835 11250
    R10G              0402-G2           06035 11250
    R10H              0402-G2           07235 11250
    R11               0402-G2           04895 08770
    R11A              0402-G2           06095 08770
    R11B              0402-G2           07295 08770
    R11C              0402-G2           07295 09970
    R11D              0402-G2           06095 09970
    R11E              0402-G2           04895 09970
    R11F              0402-G2           04895 11170

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page  8

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    R11G              0402-G2           06095 11170
    R11H              0402-G2           07295 11170
    R12               0402-G2           04850 08925
    R12A              0402-G2           06050 08925
    R12B              0402-G2           07250 08925
    R12C              0402-G2           07250 10125
    R12D              0402-G2           06050 10125
    R12E              0402-G2           04850 10125
    R12F              0402-G2           04850 11325
    R12G              0402-G2           06050 11325
    R12H              0402-G2           07250 11325
    R13               0402-G2           04745 08850
    R13A              0402-G2           05945 08850
    R13B              0402-G2           07145 08850
    R13C              0402-G2           07145 10050
    R13D              0402-G2           05945 10050
    R13E              0402-G2           04745 10050
    R13F              0402-G2           04745 11250
    R13G              0402-G2           05945 11250
    R13H              0402-G2           07145 11250
    R26               0402-G2           04805 09035
    R26A              0402-G2           06005 09035
    R26B              0402-G2           07205 09035
    R26C              0402-G2           07205 10235
    R26D              0402-G2           06005 10235
    R26E              0402-G2           04805 10235
    R26F              0402-G2           04805 11435
    R26G              0402-G2           06005 11435
    R26H              0402-G2           07205 11435
    R27               0402-G2           04590 08830
    R27A              0402-G2           05790 08830
    R27B              0402-G2           06990 08830
    R27C              0402-G2           06990 10030
    R27D              0402-G2           05790 10030
    R27E              0402-G2           04590 10030
    R27F              0402-G2           04590 11230
    R27G              0402-G2           05790 11230
    R27H              0402-G2           06990 11230
    R28               0402-G2           04410 09350
    R28A              0402-G2           05610 09350
    R28B              0402-G2           06810 09350
    R28C              0402-G2           06810 10550
    R28D              0402-G2           05610 10550

                                  U.C. BERKELEY

    20-Nov-07  20:46                                                 Page  9

    Component Locations                                         11-28-07.PCB

                           EPIC CORE 03-28-2007  REV.A

    Ref Designator    Pattern           Location
    ========================================================================

    R28E              0402-G2           04410 10550
    R28F              0402-G2           04410 11750
    R28G              0402-G2           05610 11750
    R28H              0402-G2           06810 11750
    U1                QLP-48,CHIPCON    04475 09150
    U1A               QLP-48,CHIPCON    05675 09150
    U1B               QLP-48,CHIPCON    06875 09150
    U1C               QLP-48,CHIPCON    06875 10350
    U1D               QLP-48,CHIPCON    05675 10350
    U1E               QLP-48,CHIPCON    04475 10350
    U1F               QLP-48,CHIPCON    04475 11550
    U1G               QLP-48,CHIPCON    05675 11550
    U1H               QLP-48,CHIPCON    06875 11550
    U2                MLF-64,TI         04325 08730
    U2A               MLF-64,TI         05525 08730
    U2B               MLF-64,TI         06725 08730
    U2C               MLF-64,TI         06725 09930
    U2D               MLF-64,TI         05525 09930
    U2E               MLF-64,TI         04325 09930
    U2F               MLF-64,TI         04325 11130
    U2G               MLF-64,TI         05525 11130
